Technischer Platz;Position;Raumnummer;Geraet;Material;Seriennummer;Fehlerzustand;Equipment
02-540-1989/5-0001-0001;3;W;2;11280;326040551;@16@;342641563
02-540-1989/5-0001-0002;1;F;1;11280;542020528;U80;339555097
